Requirements for the B.A. in History with a Specialization in History for Future Teachers,http://catalogue.uci.edu/schoolofhumanities/departmentofhistory/#majortext,Requirements for the B.A. in History with a Specialization in History for Future Teachers
Requirements for the Minor in History,http://catalogue.uci.edu/schoolofhumanities/departmentofhistory/#majortext,Requirements for the Minor in History
Requirements for the Minor in Armenian Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofhistory/#majortext,Requirements for the Minor in Armenian Studies
Requirements for the B.A. in Philosophy,http://catalogue.uci.edu/schoolofhumanities/departmentofphilosophy/#majortext,"Philosophy, B.A."
Requirements for the B.A. in Philosophy with a Specialization in Medicine and Well-Being,http://catalogue.uci.edu/schoolofhumanities/departmentofphilosophy/#majortext,Requirements for the B.A. in Philosophy with a Specialization in Medicine and Well-Being
Requirements for the B.A. in Philosophy with a Specialization in Law and Society,http://catalogue.uci.edu/schoolofhumanities/departmentofphilosophy/#majortext,Requirements for the B.A. in Philosophy with a Specialization in Law and Society
Requirements for the Minor in Philosophy,http://catalogue.uci.edu/schoolofhumanities/departmentofphilosophy/#majortext,Requirements for the Minor in Philosophy
Requirements for the M.A. in Philosophy,http://catalogue.uci.edu/schoolofhumanities/departmentofphilosophy/#majortext,Requirements for the M.A. in Philosophy
Requirements for the Ph.D. in Philosophy,http://catalogue.uci.edu/schoolofhumanities/departmentofphilosophy/#majortext,Requirements for the Ph.D. in Philosophy
Requirements for the B.A. in Religious Studies,http://catalogue.uci.edu/schoolofhumanities/undergraduateprograminreligiousstudies/#majortext,"Religious Studies, B.A."
Requirements for the Minor in Religious Studies,http://catalogue.uci.edu/schoolofhumanities/undergraduateprograminreligiousstudies/#majortext,Requirements for the Minor in Religious Studies
Requirements for the B.A. in Spanish,http://catalogue.uci.edu/schoolofhumanities/departmentofspanishandportuguese/#majorstext,"Spanish, B.A."
Requirements for the Minor in Spanish,http://catalogue.uci.edu/schoolofhumanities/departmentofspanishandportuguese/#majorstext,Requirements for the Minor in Spanish
Requirements for the Minor in Spanish/English Bilingual Education,http://catalogue.uci.edu/schoolofhumanities/departmentofspanishandportuguese/#majorstext,Requirements for the Minor in Spanish/English Bilingual Education
Requirements for the B.A. in African American Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofafricanamericanstudies/#minortext,African American Studies
Requirements for the Minor in African American Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofafricanamericanstudies/#minortext,Requirements for the Minor in African American Studies
Requirements for the Minor in Archaeology,http://catalogue.uci.edu/schoolofhumanities/departmentofarthistory/#minortext,Archaeology
Requirements for the B.A. in Art History,http://catalogue.uci.edu/schoolofhumanities/departmentofarthistory/#minortext,Requirements for the B.A. in Art History
Requirements for the Minor in Art History,http://catalogue.uci.edu/schoolofhumanities/departmentofarthistory/#minortext,Requirements for the Minor in Art History
Requirements for the Minor in Armenian Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofhistory/#minortext,Armenian Studies
Requirements for the B.A. in History,http://catalogue.uci.edu/schoolofhumanities/departmentofhistory/#minortext,Requirements for the B.A. in History
Requirements for the B.A. in History with a Specialization in History for Future Teachers,http://catalogue.uci.edu/schoolofhumanities/departmentofhistory/#minortext,Requirements for the B.A. in History with a Specialization in History for Future Teachers
Requirements for the Minor in History,http://catalogue.uci.edu/schoolofhumanities/departmentofhistory/#minortext,Requirements for the Minor in History
Requirements for the B.A. in Asian American Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofasianamericanstudies/#minortext,Asian American Studies
Requirements for the Minor in Asian American Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofasianamericanstudies/#minortext,Requirements for the Minor in Asian American Studies
Requirements for the Interdisciplinary Minor in Asian Studies,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#asianstudiestext,Asian Studies
Requirements for the Minor in Humanities and Law,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#asianstudiestext,Requirements for the Minor in Humanities and Law
Requirements for the Minor in Jewish Studies,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#asianstudiestext,Requirements for the Minor in Jewish Studies
Requirements for the Minor in Latin American Studies,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#asianstudiestext,Requirements for the Minor in Latin American Studies
Requirements for the Minor in Medical Humanities,http://catalogue.uci.edu/schoolofhumanities/specialprograms/#asianstudiestext,Requirements for the Minor in Medical Humanities
Requirements for the Chinese Language and Literature Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Chinese Language and Literature
Requirements for the B.A. in Japanese Language and Literature,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Japanese Language and Literature
Requirements for the B.A. in Korean Literature and Culture,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Korean Literature and Culture
Requirements for the B.A. in Chinese Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Requirements for the B.A. in Chinese Studies
Requirements for the B.A. in East Asian Cultures,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Requirements for the B.A. in East Asian Cultures
Requirements for the Minor in Chinese Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Requirements for the Minor in Chinese Studies
Requirements for the Japanese Language and Literature Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Requirements for the Japanese Language and Literature Minor
Requirements for the Minor in Japanese Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Requirements for the Minor in Japanese Studies
Requirements for the Korean Literature and Culture Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofeastasianstudies/#minorstext,Requirements for the Korean Literature and Culture Minor
Requirements for the Minor in Classical Civilization,http://catalogue.uci.edu/schoolofhumanities/departmentofclassics/#minorstext,Classical Civilization
Requirements for the Minor in Latin,http://catalogue.uci.edu/schoolofhumanities/departmentofclassics/#minorstext,Latin
Requirements for the B.A. in Classics,http://catalogue.uci.edu/schoolofhumanities/departmentofclassics/#minorstext,Requirements for the B.A. in Classics
Requirements for the Minor in Greek,http://catalogue.uci.edu/schoolofhumanities/departmentofclassics/#minorstext,Requirements for the Minor in Greek
Requirements for the B.A. in Comparative Literature,http://catalogue.uci.edu/schoolofhumanities/departmentofcomparativeliterature/#minortext,Comparative Literature
Requirements for the B.A. in English,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#minorstext,English
Requirements for the B.A. in English with a Specialization in English for Future Teachers,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#minorstext,Requirements for the B.A. in English with a Specialization in English for Future Teachers
Requirements for the B.A. in Literary Journalism,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#minorstext,Requirements for the B.A. in Literary Journalism
Departmental Requirements for the English Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#minorstext,Departmental Requirements for the English Minor
Departmental Requirements for the Literary Journalism Minor,http://catalogue.uci.edu/schoolofhumanities/departmentofenglish/#minorstext,Departmental Requirements for the Literary Journalism Minor
Requirements for the B.A. in Film and Media Studies,http://catalogue.uci.edu/schoolofhumanities/departmentoffilmandmediastudies/#minortext,Film and Media Studies
Requirements for the Minor in Film and Media Studies,http://catalogue.uci.edu/schoolofhumanities/departmentoffilmandmediastudies/#minortext,Requirements for the Minor in Film and Media Studies
Requirements for the B.A. in Gender and Sexuality Studies,http://catalogue.uci.edu/schoolofhumanities/departmentofgenderandsexualitystudies/#minortext,Gender and Sexuality Studies
